timestamp,temperature,temperature_class,humidity,humidity_class
775437859,24.7,ambiante,67.6,confortable
775437863,24.8,ambiante,65.4,confortable
775437867,25,ambiante,64.6,confortable
775437870,25.1,chaud,65.1,confortable
775437874,25.2,chaud,66.3,confortable
775437877,25.3,chaud,67.7,confortable
775437881,25.4,chaud,68.8,confortable
775437885,25.6,chaud,69.7,confortable
775437888,25.7,chaud,70.2,confortable
775437892,25.8,chaud,70.3,confortable
775437895,25.9,chaud,70.5,confortable
775437899,26,chaud,70.5,confortable
775437903,26.1,chaud,70.5,confortable
775437906,26.2,chaud,70.5,confortable
775437910,26.2,chaud,70.3,confortable
775437913,26.3,chaud,70.2,confortable
775437917,26.4,chaud,70.3,confortable
775437921,26.4,chaud,70.5,confortable
775437924,26.4,chaud,71.6,confortable
775437928,26.5,chaud,73.3,confortable
775437931,26.5,chaud,74.2,confortable
775437935,26.5,chaud,75,confortable
775437939,26.6,chaud,75.6,confortable
775437942,26.6,chaud,76.2,confortable
775437946,26.7,chaud,77.5,confortable
775437949,26.7,chaud,78.6,confortable
775437953,26.7,chaud,79.1,confortable
775437957,26.7,chaud,79.1,confortable
775437960,26.7,chaud,78.3,confortable
775437964,26.8,chaud,78,confortable
775437967,26.8,chaud,77.8,confortable
775437971,26.8,chaud,77,confortable
775437975,26.8,chaud,76,confortable
775437978,26.8,chaud,74.3,confortable
775437982,26.8,chaud,73.1,confortable
775437985,26.8,chaud,72,confortable
775437989,26.8,chaud,71.1,confortable
775437993,26.7,chaud,70.1,confortable
775437996,26.7,chaud,68.6,confortable
775438000,26.7,chaud,67.2,confortable
775438003,26.7,chaud,65.5,confortable
775438007,26.7,chaud,64.2,confortable
775438011,26.6,chaud,62.6,confortable
775438014,26.6,chaud,61.4,confortable
775438018,26.6,chaud,60,confortable
775438021,26.6,chaud,59.2,confortable
775438025,26.6,chaud,59.4,confortable
775438029,26.5,chaud,59.9,confortable
775438032,26.6,chaud,61,confortable
775438036,26.6,chaud,61.6,confortable
775438039,26.6,chaud,62.3,confortable
775438043,26.7,chaud,62.3,confortable
775438047,26.7,chaud,62.2,confortable
775438050,26.8,chaud,61.6,confortable
775438054,26.8,chaud,60.8,confortable
775438057,26.8,chaud,60.5,confortable
775438061,26.9,chaud,60.7,confortable
775438065,26.9,chaud,60.7,confortable
775438068,27,chaud,60.4,confortable
775438072,27,chaud,59.7,confortable
775438075,27,chaud,59.1,confortable
775438079,27,chaud,59.8,confortable
775438083,27,chaud,60,confortable
775438086,27,chaud,61.2,confortable
775438090,27,chaud,61.8,confortable
775438093,27.1,chaud,62,confortable
775438097,27.1,chaud,62.1,confortable
775438100,27.1,chaud,61.9,confortable
775438104,27.2,chaud,62,confortable
775438108,27.2,chaud,61.8,confortable
775438111,27.3,chaud,61.6,confortable
775438115,27.4,chaud,61.5,confortable
775438118,27.4,chaud,61.4,confortable
775438122,27.4,chaud,61.1,confortable
775438126,27.5,chaud,60.8,confortable
775438129,27.5,chaud,60.4,confortable
775438133,27.5,chaud,60.1,confortable
775438136,27.5,chaud,59.1,confortable
775438140,27.5,chaud,57.5,confortable
775438144,27.5,chaud,56,confortable
775438147,27.5,chaud,56.9,confortable
775438151,27.7,chaud,97.5,humide
775438154,28.8,chaud,99.9,humide
775438158,28.7,chaud,99.9,humide
775438162,28.3,chaud,99.9,humide
775438165,28,chaud,99.9,humide
775438169,27.8,chaud,99.9,humide
775438172,27.7,chaud,99.9,humide
775438176,27.5,chaud,98,humide
775438180,27.5,chaud,95,humide
775438183,27.3,chaud,92.1,humide
775438187,27.3,chaud,88.8,humide
775438190,27.2,chaud,83,humide
775438194,27.1,chaud,80.8,humide
775438198,27.1,chaud,77.3,confortable
775438201,27.1,chaud,75.3,confortable
775438205,27.1,chaud,71.3,confortable
775438208,27,chaud,67.5,confortable
775438212,27,chaud,64.4,confortable
775438216,26.9,chaud,63.6,confortable
775438219,26.8,chaud,62.2,confortable
775438223,26.7,chaud,69.5,confortable
775438226,26.8,chaud,99.9,humide
775438230,27.5,chaud,94.5,humide
775438234,27.5,chaud,87.8,humide
775438237,27.4,chaud,78.9,confortable
775438241,27.3,chaud,71.1,confortable
775438244,27.2,chaud,67,confortable
775438248,27.1,chaud,63.8,confortable
775438252,27,chaud,61.3,confortable
775438255,27,chaud,59.7,confortable
